,356.,2018-02-25 02:22:55,48.81,98%,"If you really want to hear about it, the first thing you'll ...",No win (5 of 5)
0,355.0,2018-02-25 02:21:20,46.49,98%,"Hello, hello, hello. With the lights out, it's less dangerou...",No win (2 of 4)
1,354.0,2018-02-13 02:24:51,53.59,99%,I walked by your guidance counselor's office one time. A bun...,No win (4 of 5)
2,353.0,2018-02-13 02:23:35,51.61,97%,The wheel is turning and you can't slow down. You can't let ...,No win (2 of 5)
3,352.0,2018-02-13 02:22:39,51.89,97%,In your heart I see the start of every night and every day. ...,No win (4 of 5)
4,351.0,2018-02-13 02:21:42,51.38,97%,Since you've gone I've been lost without a trace. I dream at...,No win (2 of 5)
5,350.0,2018-02-13 02:20:44,56.79,98%,Chance and chance alone has a message for us. Everything tha...,Win (1 of 5)
6,349.0,2017-02-12 11:03:02,58.85,97%,It is not difficult to wield a sword in one hand; the way to...,No win (3 of 5)
7,348.0,2017-02-12 11:02:06,66.55,99%,"Not too many days from this day, not too many hours from thi...",Win (1 of 3)
8,347.0,2017-01-09 04:50:52,48.99,94%,"First, your return to shore was not part of our negotiations...",No win (2 of 5)
9,346.0,2017-01-09 04:49:13,60.71,98%,Confession is not betrayal. What you say or do doesn't matte...,Win (1 of 2)
10,345.0,2017-01-09 04:48:29,43.47,95%,"What alternative is there to the media's ""Us"" versus ""Them""?...",No win (3 of 5)
11,344.0,2017-01-09 04:46:18,48.92,95%,If you spend too much time trying to find out what is good o...,No win (3 of 5)
12,343.0,2017-01-09 04:45:18,49.02,95%,There will come a dawn or sunset or high noon when a man wil...,No win (3 of 5)
13,342.0,2016-11-04 12:25:37,50.07,97%,The development of a living body of literature became indica...,No win (2 of 3)
14,341.0,2016-11-04 12:24:00,56.29,95%,"For centuries, the battle of morality was fought between tho...",No win (3 of 4)
15,340.0,2016-11-04 12:22:28,57.69,94%,There's an old voice in my head that's holding me back. Well...,Win (1 of 4)
16,339.0,2015-06-11 07:27:38,53.96,92%,One scientist I met recently told me he reckoned that the av...,No win (3 of 3)
17,338.0,2015-06-11 07:26:11,59.35,99%,One essential rule: make sure the joke is the last possible ...,No win (2 of 5)
18,337.0,2015-01-15 15:08:56,36.12,90%,"When the light of life has gone, no change for the meter. Th...",No win (2 of 2)
19,336.0,2015-01-15 15:06:27,37.58,87%,"They say that right after God created man, he took a rib fro...",No win (2 of 2)
20,335.0,2015-01-15 15:04:20,32.29,90%,"Trudging slowly over wet sand, back to the bench where your ...",No win (2 of 2)
21,334.0,2015-01-15 15:01:01,36.95,88%,I can practically see your face and another revolutionary fa...,Win (1 of 2)
22,333.0,2015-01-14 11:14:21,63.27,98%,San Francisco in the middle sixties was a very special time ...,No win (2 of 3)
23,332.0,2015-01-13 05:14:44,50.81,98%,"When I was a kid, you never saw radicchio in the produce sec...",No win (3 of 5)
24,331.0,2015-01-13 05:12:17,53.05,98%,"The term ""barbarian"" was created by the Greeks; it was origi...",No win (2 of 3)
25,330.0,2015-01-13 05:10:10,49.73,98%,"This was the most delicious meal he'd had in recent years, a...",No win (3 of 5)
26,329.0,2014-12-26 07:17:00,50.37,93%,"If we all go for the blonde and block each other, not a sing...",No win (2 of 2)
27,328.0,2014-10-28 07:52:34,51.93,94%,"My darling, you have to be standing up in order to be able t...",No win (4 of 5)
28,327.0,2014-10-28 07:51:09,58.95,98%,I know that you weren't bored that day because there was a l...,Win (1 of 5)
29,326.0,2014-10-28 07:49:48,58.72,98%,"Whether they use the title or not, many lyrics have evocativ...",No win (3 of 4)
