,کے طور پر,as
0,میں,I
1,ان,his
2,کہ,that
3,وہ,he
4,تھا,was
5,کے لئے,for
6,پر,on
7,ہیں,are
8,کے ساتھ,with
9,وہ,they
10,ہو,be
11,میں,at
12,ایک,one
13,ہے,have
14,اس,this
15,سے,from
16,کی طرف سے,by
17,گرم، شہوت انگیز,hot
18,لفظ,word
19,لیکن,but
20,کیا,what
21,کچھ,some
22,ہے,is
23,یہ,it
24,آپ,you
25,یا,or
26,تھا,had
27,فہرست,the
28,کے,of
29,کرنے کے لئے,to
30,اور,and
31,ایک,a
32,میں,in
33,ہم,we
34,کر سکتے ہیں,can
35,باہر,out
36,دیگر,other
37,تھے,were
38,جس,which
39,کر,do
40,ان,their
41,وقت,time
42,اگر,if
43,گا,will
44,کس طرح,how
45,انہوں نے کہا کہ,said
46,ایک,an
47,ہر ایک,each
48,بتانا,tell
49,کرتا ہے,does
50,سیٹ,set
51,تین,three
52,چاہتے ہیں,want
53,ہوا,air
54,اچھی طرح سے,well
55,بھی,also
56,ادا,play
57,چھوٹے,small
58,آخر,end
59,ڈال,put
60,گھر,home
61,پڑھیں,read
62,ہاتھ,hand
63,پورٹ,port
64,بڑے,large
65,جادو,spell
66,شامل,add
67,بھی,even
68,ملک,land
69,یہاں,here
70,ضروری,must
71,بڑا,big
72,اعلی,high
73,اس طرح,such
74,فالو کریں,follow
75,ایکٹ,act
76,کیوں,why
77,پوچھنا,ask
78,مردوں کے,men
79,تبدیلی,change
80,گیا,went
81,روشنی,light
82,قسم,kind
83,بند,off
84,ضرورت,need
85,گھر,house
86,تصویر,picture
87,کوشش,try
88,ہم,us
89,پھر,again
90,جانور,animal
91,نقطہ,point
92,ماں,mother
93,دنیا,world
94,قریب,near
95,تعمیر,build
96,خود,self
97,زمین,earth
98,والد,father
99,کوئی بھی,any
100,نئے,new
101,کام,work
102,حصہ,part
103,لے,take
104,حاصل,get
105,جگہ,place
106,بنا,made
107,رہتے,live
108,جہاں,where
109,کے بعد,after
110,واپس,back
111,تھوڑا,little
112,صرف,only
113,گول,round
114,آدمی,man
115,سال,year
116,آیا,came
117,شو,show
118,ہر,every
119,اچھا,good
120,مجھے,me
121,دے,give
122,ہمارے,our
123,کے تحت,under
124,نام,name
125,بہت,very
126,کے ذریعے,through
127,صرف,just
128,فارم,form
129,سزا,sentence
130,عظیم,great
131,لگتا ہے,think
132,کا کہنا ہے کہ,say
133,مدد,help
134,کم,low
135,لائن,line
136,اختلاف,differ
137,باری,turn
138,وجہ,cause
139,زیادہ سے زیادہ,much
140,مطلب,mean
141,پہلے,before
142,اقدام,move
143,حق,right
144,لڑکے,boy
145,پرانے,old
146,بھی,too
147,ہی,same
148,وہ,she
149,تمام,all
150,وہاں,there
151,جب,when
152,اپ,up
153,استعمال,use
154,آپ,your
155,راستہ,way
156,کے بارے میں,about
157,بہت سے,many
158,پھر,then
159,ان,them
160,لکھنا,write
161,گا,would
162,کی طرح,like
163,تو,so
164,ان,these
165,اس,her
166,طویل,long
167,بنانے,make
168,بات,thing
169,دیکھیں,see
170,اس,him
171,دو,two
172,ہے,has
173,نظر,look
174,مزید,more
175,دن,day
176,کر سکتے ہیں,could
177,جاؤ,go
178,آئے,come
179,کیا,did
180,تعداد,number
181,آواز,sound
182,کوئی,no
183,سب سے زیادہ,most
184,لوگ,people
185,میرا,my
186,پر,over
187,جانتے ہیں,know
188,پانی,water
189,سے,than
190,کال,call
191,پہلے,first
192,جو,who
193,ہو سکتا ہے,may
194,نیچے,down
195,کی طرف,side
196,رہا,been
197,اب,now
198,تلاش,find
199,سر,head
200,کھڑے,stand
201,اپنے,own
202,صفحہ,page
203,چاہئے,should
204,ملک,country
205,پایا,found
206,جواب,answer
207,اسکول,school
208,اضافہ,grow
209,مطالعہ,study
210,اب بھی,still
211,جاننے کے,learn
212,پلانٹ,plant
213,کور,cover
214,کھانا,food
215,سورج,sun
216,چار,four
217,کے درمیان,between
218,ریاست,state
219,رکھنے کے,keep
220,آنکھ,eye
221,کبھی نہیں,never
222,آخری,last
223,دو,let
224,سوچا,thought
225,شہر,city
226,درخت,tree
227,پار,cross
228,فارم,farm
229,مشکل,hard
230,آغاز,start
231,ہو سکتا ہے,might
232,کہانی,story
233,ص,saw
234,اب تک,far
235,سمندر,sea
236,اپنی طرف متوجہ,draw
237,بائیں,left
238,دیر سے,late
239,رن,run
240,نہیں,don’t
241,جبکہ,while
242,پریس,press
243,بند کریں,close
244,رات,night
245,اصلی,real
246,زندگی,life
247,چند,few
248,شمالی,north
249,کتاب,book
250,لے جانے کے,carry
251,لیا,took
252,سائنس,science
253,کھانے,eat
254,کمرے,room
255,دوست,friend
256,شروع,began
257,خیال,idea
258,مچھلی,fish
259,پہاڑ,mountain
260,کو روکنے کے,stop
261,ایک بار,once
262,بنیاد,base
263,سن,hear
264,گھوڑا,horse
265,کٹ,cut
266,اس بات کا یقین,sure
267,گھڑی,watch
268,رنگین,color
269,چہرے,face
270,لکڑی,wood
271,اہم,main
272,کھولیں,open
273,لگتا ہے,seem
274,ایک ساتھ مل کر,together
275,اگلا,next
276,سفید,white
277,بچوں,children
278,شروع,begin
279,ملا,got
280,چلنا,walk
281,مثال کے طور پر,example
