,như,as
0,tôi,I
1,mình,his
2,mà,that
3,ông,he
4,là,was
5,cho,for
6,trên,on
7,là,are
8,với,with
9,họ,they
10,được,be
11,tại,at
12,một,one
13,có,have
14,này,this
15,từ,from
16,bởi,by
17,nóng,hot
18,từ,word
19,nhưng,but
20,những gì,what
21,một số,some
22,là,is
23,nó,it
24,anh,you
25,hoặc,or
26,có,had
27,các,the
28,của,of
29,để,to
30,và,and
31,một,a
32,trong,in
33,chúng tôi,we
34,có thể,can
35,ra,out
36,khác,other
37,là,were
38,mà,which
39,làm,do
40,của họ,their
41,thời gian,time
42,nếu,if
43,sẽ,will
44,như thế nào,how
45,nói,said
46,một,an
47,môi,each
48,nói,tell
49,không,does
50,bộ,set
51,ba,three
52,muốn,want
53,không khí,air
54,cũng,well
55,cũng,also
56,chơi,play
57,nhỏ,small
58,cuối,end
59,đặt,put
60,nhà,home
61,đọc,read
62,tay,hand
63,cổng,port
64,lớn,large
65,chính tả,spell
66,thêm,add
67,thậm chí,even
68,đất,land
69,ở đây,here
70,phải,must
71,lớn,big
72,cao,high
73,như vậy,such
74,theo,follow
75,hành động,act
76,lý do tại sao,why
77,xin,ask
78,người đàn ông,men
79,thay đổi,change
80,đi,went
81,ánh sáng,light
82,loại,kind
83,tắt,off
84,cần,need
85,nhà,house
86,hình ảnh,picture
87,thử,try
88,chúng tôi,us
89,một lần nữa,again
90,động vật,animal
91,điểm,point
92,mẹ,mother
93,thế giới,world
94,gần,near
95,xây dựng,build
96,tự,self
97,đất,earth
98,cha,father
99,bất kỳ,any
100,mới,new
101,công việc,work
102,một phần,part
103,có,take
104,được,get
105,nơi,place
106,thực hiện,made
107,sống,live
108,nơi,where
109,sau khi,after
110,trở lại,back
111,ít,little
112,chỉ,only
113,chung quanh,round
114,người đàn ông,man
115,năm,year
116,đến,came
117,chương trình,show
118,mỗi,every
119,tốt,good
120,tôi,me
121,cung cấp cho,give
122,của chúng tôi,our
123,dưới,under
124,tên,name
125,rất,very
126,thông qua,through
127,chỉ,just
128,hình thức,form
129,câu,sentence
130,tuyệt vời,great
131,nghi,think
132,nói,say
133,giúp,help
134,thấp,low
135,dòng,line
136,khác nhau,differ
137,lần lượt,turn
138,nguyên nhân,cause
139,nhiều,much
140,có nghĩa là,mean
141,trước,before
142,di chuyển,move
143,ngay,right
144,cậu bé,boy
145,cũ,old
146,quá,too
147,như nhau,same
148,cô,she
149,tất cả,all
150,có,there
151,khi,when
152,lên,up
153,sử dụng,use
154,của bạn,your
155,cách,way
156,về,about
157,nhiều,many
158,sau đó,then
159,họ,them
160,viết,write
161,sẽ,would
162,như,like
163,để,so
164,các,these
165,cô,her
166,lâu,long
167,làm,make
168,điều,thing
169,thấy,see
170,anh,him
171,hai,two
172,có,has
173,xem,look
174,hơn,more
175,ngày,day
176,có thể,could
177,đi,go
178,đến,come
179,đã làm,did
180,số,number
181,âm thanh,sound
182,không có,no
183,nhất,most
184,nhân dân,people
185,của tôi,my
186,hơn,over
187,biết,know
188,nước,water
189,hơn,than
190,gọi,call
191,đầu tiên,first
192,người,who
193,có thể,may
194,xuống,down
195,bên,side
196,được,been
197,bây giờ,now
198,tìm,find
199,đầu,head
200,đứng,stand
201,riêng,own
202,trang,page
203,nên,should
204,nước,country
205,tìm thấy,found
206,câu trả lời,answer
207,trường,school
208,phát triển,grow
209,nghiên cứu,study
210,vẫn,still
211,học,learn
212,nhà máy,plant
213,bìa,cover
214,thực phẩm,food
215,ánh nắng mặt trời,sun
216,bốn,four
217,giữa,between
218,nhà nước,state
219,giữ,keep
220,mắt,eye
221,không bao giờ,never
222,cuối cùng,last
223,cho phép,let
224,nghĩ,thought
225,thành phố,city
226,cây,tree
227,qua,cross
228,trang trại,farm
229,cứng,hard
230,bắt đầu,start
231,might,might
232,câu chuyện,story
233,cưa,saw
234,đến nay,far
235,biển,sea
236,vẽ,draw
237,còn lại,left
238,cuối,late
239,chạy,run
240,không,don’t
241,trong khi,while
242,báo chí,press
243,gần,close
244,đêm,night
245,thực,real
246,cuộc sống,life
247,số,few
248,phía bắc,north
249,cuốn sách,book
250,thực hiện,carry
251,mất,took
252,khoa học,science
253,ăn,eat
254,phòng,room
255,người bạn,friend
256,bắt đầu,began
257,ý tưởng,idea
258,cá,fish
259,núi,mountain
260,ngăn chặn,stop
261,một lần,once
262,cơ sở,base
263,nghe,hear
264,ngựa,horse
265,cắt,cut
266,chắc chắn,sure
267,xem,watch
268,màu,color
269,khuôn mặt,face
270,gỗ,wood
271,chính,main
272,mở,open
273,dường như,seem
274,cùng,together
275,tiếp theo,next
276,trắng,white
277,trẻ em,children
278,bắt đầu,begin
279,có,got
280,đi bộ,walk
281,Ví dụ,example
282,giảm bớt,ease
283,giấy,paper
284,nhóm,group
285,luôn luôn,always
286,nhạc,music
287,những,those
288,cả hai,both
289,đánh dấu,mark
290,thường,often
291,thư,letter
292,cho đến khi,until
293,dặm,mile
294,sông,river
295,xe,car
296,chân,feet
297,chăm sóc,care
298,thứ hai,second
299,đủ,enough
300,đồng bằng,plain
301,cô gái,girl
302,thông thường,usual
303,trẻ,young
304,sẵn sàng,ready
305,trên đây,above
306,bao giờ,ever
307,màu đỏ,red
308,danh sách,list
309,mặc dù,though
310,cảm thấy,feel
311,nói chuyện,talk
312,chim,bird
313,sớm,soon
314,cơ thể,body
315,con chó,dog
316,gia đình,family
317,trực tiếp,direct
318,đặt ra,pose
319,lại,leave
320,bài hát,song
321,đo lường,measure
322,cửa,door
323,sản phẩm,product
324,đen,black
325,ngắn,short
326,chữ số,numeral
327,lớp,class
328,gió,wind
329,câu hỏi,question
330,xảy ra,happen
331,hoàn thành,complete
332,tàu,ship
333,khu vực,area
334,một nửa,half
335,đá,rock
336,để,order
337,lửa,fire
338,nam,south
339,vấn đề,problem
340,mảnh,piece
341,nói,told
342,biết,knew
343,vượt qua,pass
344,từ,since
345,đầu,top
346,toàn bộ,whole
347,vua,king
348,đường phố,street
349,inch,inch
