,1;fr;Combien de temps dure en moyenne la gestation d'une éléphante ?;21 mois;17 mois;13 mois;9 mois;Débutant;Une éléphante peut être en gestation jusqu'à l'âge de cinquante ans, où un seul éléphant est porté dans la plupart des cas.;https://fr.wikipedia.org/wiki/Éléphant
0,2;fr;À combien de pulsations par minute bat le cœur d'un hérisson en hibernation ?;18;28;38;8;Débutant;Il ne faut pas confondre les hérissons avec d'autres mammifères porteurs de piquants, comme par exemple les porcs-épics.;https://fr.wikipedia.org/wiki/Hérisson
1,5;fr;Combien de bisons environ Buffalo Bill a-t-il abattus en 18 mois seulement ?;4 000;3 000;2 000;1 000;Débutant;Le chapeau stetson ainsi que le bandana ont été popularisés par Buffalo Bill alors que tous les cow-boys n'en portaient pas forcément.;https://fr.wikipedia.org/wiki/Buffalo_Bill,
2,6;fr;Jusqu'à quelle altitude vivent en général les bouquetins des Alpes ?;3 500 m;2 300 m;1 900 m;4 600 m;Débutant;Le milieu de prédilection du bouquetin des Alpes comprend des murailles abruptes, des falaises à pics ou des parois escarpées.;https://fr.wikipedia.org/wiki/Bouquetin_des_Alpes
3,7;fr;Combien de minutes une otarie peut-elle nager sous l'eau sans respirer ?;5 min;7 min;9 min;11 min;Débutant;Contrairement aux phoques, les otaries pourvuent de nageoires se servent à terre de leurs postérieurs pour marcher.;https://fr.wikipedia.org/wiki/Otariidae
4,9;fr;Quel est le pourcentage de rongeurs parmi les mammifères ?;40 %;30 %;20 %;10 %;Débutant;Ces animaux se caractérisent par leur unique paire d'incisives qui leur servent à ronger, à creuser des galeries ou à se défendre.;https://fr.wikipedia.org/wiki/Rodentia
5,10;fr;Combien de fois par minute un fourmilier peut-il sortir la langue de sa gueule ?;160 fois;120 fois;80 fois;40 fois;Débutant;Le fourmilier mange surtout des fourmis, mais il aime aussi les termites et d'autres insectes comme la coccinelle.;https://fr.wikipedia.org/wiki/Fourmilier
6,11;fr;Jusqu'à combien de kilos de viande une hyène peut-elle manger au cours d'un repas ?;14 kg;4 kg;24 kg;34 kg;Confirmé;Il est impossible de discerner par la simple observation un mâle hyène d'une femelle tant l'un et l'autre se ressemblent.;https://fr.wikipedia.org/wiki/Hyaenidae,
7,13;fr;Combien une reine termite pond-elle d'œufs en moyenne par jour ?;30;60;90;120;Confirmé;D'un couple de termites naissent des larves qui donnent des ouvriers stériles ou des nymphes qui donneront des adultes sexués.;https://fr.wikipedia.org/wiki/Termite,
8,14;fr;Quelle vitesse un léopard au repos peut-il atteindre en seulement deux secondes ?;60 km/h;80 km/h;100 km/h;40 km/h;Confirmé;Le léopard tient une place importante dans certaines cultures africaines où ce roi des animaux est l'attribut des chefs.;https://fr.wikipedia.org/wiki/Léopard,
9,15;fr;Combien de minutes un cachalot peut-il rester sous l'eau sans respirer ?;90 min;70 min;50 min;30 min;Confirmé;La chasse au cachalot permettait de récolter le spermaceti, substance blanche et cireuse issue de la tête de l'animale.;https://fr.wikipedia.org/wiki/Physeteroidea
10,16;fr;Quelle vitesse un faucon pèlerin peut-il atteindre lorsqu'il fond sur sa proie ?;240 km/h;200 km/h;160 km/h;120 km/h;Confirmé;Ses proies sont souvent des oiseaux, mais certains individus peuvent également s'attaquer à de petits animaux terrestres.;https://fr.wikipedia.org/wiki/Faucon_pèlerin
11,18;fr;Par quel facteur le poids d'un ours blanc est-il multiplié deux mois après sa naissance ?;25;35;45;55;Confirmé;Parfaitement adapté à son habitat, l'ours blanc possède une épaisse couche de graisse et une fourrure qui l'isolent du froid.;https://fr.wikipedia.org/wiki/Ours_blanc
12,21;fr;Quelle est la longueur maximale du bond que peut effectuer un puma ?;12 m;10 m;8 m;6 m;Expert;Pour les besoins de la chasse ou en cas de menace, il est capable de grimper aux arbres et de faire preuve d'une grande agilité.;https://fr.wikipedia.org/wiki/Puma
13,22;fr;Combien un moustique normalement constitué a-t-il de dents ?;47;34;29;11;Expert;Les adultes se nourrissent de nectar de fleurs et participent à la pollinisation des plantes, au même titre que les papillons.;https://fr.wikipedia.org/wiki/Moustique
14,23;fr;Quelle est la longueur en centimètres d'un intestin de koala ?;300 cm;200 cm;100 cm;400 cm;Expert;Le koala est étroitement lié à l'eucalyptus ou gommier, dont il ne mange que les feuilles de certaines espèces.;https://fr.wikipedia.org/wiki/Koala
15,24;fr;Combien de jours dure l'hibernation d'un écureuil d'Alaska ?;270 jours;180 jours;320 jours;410 jours;Expert;La queue en panache de l'écureuil et son acharnement à faire des provisions pour l'hiver ont contribué à sa popularité.;https://fr.wikipedia.org/wiki/Écureuil,
16,25;fr;Quelle est la vitesse maximale déjà atteinte par l'espadon-voilier ?;109 km/h;99 km/h;89 km/h;119 km/h;Expert;Possédant des stries verticales sur les flancs, l'espadon-voilier est considéré comme étant le plus rapide des poissons.;https://fr.wikipedia.org/wiki/Voilier_de_l'Indo-Pacifique
17,28;fr;Combien de fois par seconde un colibri peut-il battre des ailes ?;78 fois;58 fois;38 fois;18 fois;Expert;Les colibris sont également surnommés oiseaux-mouches à cause de leur petite taille et de leurs battements d'ailes rapides.;https://fr.wikipedia.org/wiki/Trochilidae,
18,31;en;How long does the average gestation of an elephant last ?;21 months;17 months;13 months;9 months;Beginner;An elephant can be pregnant up to the age of fifty, where only one elephant is carried in most cases.;https://en.wikipedia.org/wiki/Elephant
19,32;en;How many pulses per minute does the heart of a hibernating hedgehog have ?;18;28;38;8;Beginner;Do not confuse the hedgehogs with other mammals carrying quills, such as porcupines.;
20,37;en;How many minutes can a sea lion swim underwater without breathing ?;5 min;7 min;9 min;11 min;Beginner;Unlike seals, fur seals use their fins on the ground to walk.;https://en.wikipedia.org/wiki/Eared seal
21,39;en;What is the percentage of rodents among mammals ?;40%;30%;20%;10%;Beginner;These animals are characterized by their unique pair of incisors which serve them to gnaw, dig galleries or defend themselves.;https://en.wikipedia.org/wiki/Rodent
22,40;en;How many times a minute can an anteater get its tongue out of its mouth ?;160 times;120 times;80 times;40 times;Beginner;The anteater eats mostly ants, but it also likes termites and other insects such as ladybugs.;https://en.wikipedia.org/wiki/Anteater
23,42;en;What is the average weight of the tongue of an adult blue whale ?;2.7 tons;880 kg;1.3 tons;2.2 tons;Confirmed;When the mouth of the blue whale is completely open, it is big enough to hold 90 tons of water and food.;https://en.wikipedia.org/wiki/Blue_whale
24,43;en;How much does a termite queen lay eggs on average per day ?;30;60;90;120;Confirmed;From a termite couple are born larvae that give sterile workers or pupae that will give sexed adults.;https://en.wikipedia.org/wiki/Termite,
25,44;en;How fast can a leopard at rest reach in just two seconds ?;60 km / h;80 km / h;100 km / h;40 km / h;Confirmed;Leopard holds an important place in some African cultures where this king of animals is the attribute of the chiefs.;https://en.wikipedia.org/wiki/Leopard,
26,46;en;How fast can a peregrine falcon reach when it is on its prey ?;240 km / h;200 km / h;160 km / h;120 km / h;Confirmed;Its prey is often birds, but some individuals can also attack small land animals.;https://en.wikipedia.org/wiki/Peregrine_falcon
27,48;en;By what factor is the weight of a polar bear multiplied two months after birth ?;25;35;45;55;Confirmed;Perfectly adapted to its habitat, the polar bear has a thick layer of fat and a fur that isolates it from the cold.;https://en.wikipedia.org/wiki/Polar_bear
28,51;en;What is the maximum length of the jump that a cougar can make ?;12 m;10 m;8 m;6 m;Expert;For the purposes of hunting or in case of threat, he is able to climb trees and be very agile.;https://en.wikipedia.org/wiki/Cougar
29,52;en;How much does a normally formed mosquito have teeth ?;47;34;29;11;Expert;Adults feed on flower nectar and participate in the pollination of plants, just like butterflies.;https://en.wikipedia.org/wiki/Mosquito
30,53;en;What is the length in centimeters of a koala intestine ?;300 cm;200 cm;100 cm;400 cm;Expert;The koala is closely related to the eucalyptus or gum tree, from which it only eats the leaves of certain species.;https://en.wikipedia.org/wiki/Koala
31,54;en;How many days does an Alaskan squirrel hibernate ?;270 days;180 days;320 days;410 days;Expert;The squirrel's plume tail and its relentless winter provisions have contributed to its popularity.;https://en.wikipedia.org/wiki/Tree_squirrel,
32,55;en;What is the maximum speed already reached by the sailing swordfish ?;109 km / h;99 km / h;89 km / h;119 km / h;Expert;Possessing vertical streaks on the flanks, the sailfish is considered to be the fastest fish.;https://en.wikipedia.org/wiki/Indo-Pacific_sailfish
33,58;en;How many times a second can a hummingbird flap its wings ?;78 times;58 times;38 times;18 times;Expert;Hummingbirds are also known as hummingbirds because of their small size and fast wing beats.;https://en.wikipedia.org/wiki/Hummingbird,
34,61;de;Wie lange dauert die durchschnittliche Schwangerschaft eines Elefanten ?;21 Monate;17 Monate;13 Monate;9 Monate;Newbie;Ein Elefant kann bis zum Alter von fünfzig Jahren schwanger sein, wobei in den meisten Fällen nur ein Elefant getragen wird.;
35,62;de;Wie viele Impulse pro Minute hat das Herz eines Winterschlafigels ?;18;28;38;8;Newbie;Verwechseln Sie die Igel nicht mit anderen Säugetieren, die Stacheln wie Stachelschweine tragen.;
36,64;de;In welchem Jahr wurde der letzte lebende Dodo auf Mauritius gesehen ?;1681;1723;1832;1908;Newbie;Neben seiner Flugunfähigkeit hatte der Dodo keine Angst vor Menschen entwickelt, was ihn zu einer leichten Beute machte.;https://de.wikipedia.org/wiki/Dodo
37,65;de;Wie viele Bisons hat Buffalo Bill in nur 18 Monaten geschlachtet ?;4.000;3000;2.000;1.000;Newbie;Der Stetson-Hut und das Bandana wurden von Buffalo Bill populär gemacht, während nicht alle Cowboys ihn trugen.;https://de.wikipedia.org/wiki/Buffalo_Bill
