,id,book,chapter,verse,text,authentic
0,59001021,James,1,21,"Wherefore lay apart all filthiness and superfluity of naughtiness, and receive with meekness the engrafted word, which is able to save your souls.",False
1,63001008,2 John,1,8,"Look to yourselves, that we lose not those things which we have wrought, but that we receive a full reward.",False
2,60003021,1 Peter,3,21,"The like figure whereunto even baptism doth also now save us (not the putting away of the filth of the flesh, but the answer of a good conscience toward God,) by the resurrection of Jesus Christ:",False
3,60004019,1 Peter,4,19,"Wherefore let them that suffer according to the will of God commit the keeping of their souls to him in well doing, as unto a faithful Creator.",False
4,59005002,James,5,2,"Your riches are corrupted, and your garments are motheaten.",False
5,65001024,Jude,1,24,"Now unto him that is able to keep you from falling, and to present you faultless before the presence of his glory with exceeding joy,",False
6,61003004,2 Peter,3,4,"And saying, Where is the promise of his coming? for since the fathers fell asleep, all things continue as they were from the beginning of the creation.",False
7,60003002,1 Peter,3,2,While they behold your chaste conversation coupled with fear.,False
8,59002006,James,2,6,"But ye have despised the poor. Do not rich men oppress you, and draw you before the judgment seats?",False
9,64001008,3 John,1,8,"We therefore ought to receive such, that we might be fellowhelpers to the truth.",False
10,61001011,2 Peter,1,11,For so an entrance shall be ministered unto you abundantly into the everlasting kingdom of our Lord and Saviour Jesus Christ.,False
11,64001005,3 John,1,5,"Beloved, thou doest faithfully whatsoever thou doest to the brethren, and to strangers;",False
12,62005021,1 John,5,21,"Little children, keep yourselves from idols. Amen.",False
13,62003020,1 John,3,20,"For if our heart condemn us, God is greater than our heart, and knoweth all things.",False
14,60003006,1 Peter,3,6,"Even as Sara obeyed Abraham, calling him lord: whose daughters ye are, as long as ye do well, and are not afraid with any amazement.",False
15,62002001,1 John,2,1,"My little children, these things write I unto you, that ye sin not. And if any man sin, we have an advocate with the Father, Jesus Christ the righteous:",False
16,59004014,James,4,14,"Whereas ye know not what shall be on the morrow. For what is your life? It is even a vapour, that appeareth for a little time, and then vanisheth away.",False
17,60001012,1 Peter,1,12,"Unto whom it was revealed, that not unto themselves, but unto us they did minister the things, which are now reported unto you by them that have preached the gospel unto you with the Holy Ghost sent down from heaven; which things the angels desire to look into.",False
18,62002024,1 John,2,24,"Let that therefore abide in you, which ye have heard from the beginning. If that which ye have heard from the beginning shall remain in you, ye also shall continue in the Son, and in the Father.",False
19,60004003,1 Peter,4,3,"For the time past of our life may suffice us to have wrought the will of the Gentiles, when we walked in lasciviousness, lusts, excess of wine, revellings, banquetings, and abominable idolatries:",False
20,60001022,1 Peter,1,22,"Seeing ye have purified your souls in obeying the truth through the Spirit unto unfeigned love of the brethren, see that ye love one another with a pure heart fervently:",False
21,60004014,1 Peter,4,14,"If ye be reproached for the name of Christ, happy are ye; for the spirit of glory and of God resteth upon you: on their part he is evil spoken of, but on your part he is glorified.",False
