,UNK,1
0,melatonin,4
1,sleep,4
2,author,3
3,took,2
4,take,4
5,feeling,4
6,like,0
7,night,1
8,one,7
9,two,7
10,happy,2
11,think,3
12,need,5
13,cannot,5
14,zero,7
15,get,5
16,taking,3
17,asleep,3
18,work,6
19,three,7
20,time,3
21,pills,2
22,feel,1
23,tonight,5
24,good,0
25,going,5
26,lol,1
27,still,4
28,last,0
29,bed,0
30,help,3
31,valerian,3
32,five,7
33,echinacea,2
34,dreams,1
35,four,7
36,would,1
37,sleeping,3
38,awake,6
39,wake,6
40,fall,5
41,hours,0
42,really,6
43,got,4
44,tired,1
45,well,1
46,even,1
47,better,3
48,right,5
49,much,1
50,know,1
51,shit,1
52,try,2
53,tea,2
54,gonna,3
55,could,0
56,want,5
57,tried,4
58,day,0
59,works,2
60,actually,1
61,sad,1
62,make,5
63,helps,3
64,life,0
65,tomorrow,6
66,never,4
67,back,5
68,root,4
69,six,7
70,makes,4
71,ago,3
72,insomnia,6
73,sleepy,3
74,ever,0
75,morning,0
76,hope,5
77,every,0
78,mom,4
79,since,6
80,wish,4
81,love,0
82,taken,5
83,today,0
84,hour,1
85,eight,7
86,slept,6
87,though,3
88,might,2
89,trying,5
90,guess,5
91,maybe,3
92,hopefully,5
93,getting,6
94,something,4
95,already,4
96,fuck,0
97,pill,2
98,best,0
99,see,3
100,always,4
101,put,5
102,body,6
103,sure,1
104,bad,1
105,early,1
106,start,0
107,cant,5
108,way,1
109,use,4
110,little,1
111,nyquil,2
112,keep,2
113,crazy,1
114,hate,3
115,seven,7
116,also,3
117,nights,5
118,gave,3
119,soon,1
120,forgot,3
121,wide,0
122,give,3
123,woke,6
124,nine,7
125,ass,1
126,bottle,2
127,used,4
128,dream,0
129,brain,6
130,without,5
131,enough,1
132,knock,2
133,cause,1
134,friend,5
135,stay,5
136,stuff,2
137,thought,4
138,worked,3
139,made,1
140,thing,2
141,find,5
142,first,1
143,cold,4
144,kick,5
145,wanna,5
146,weird,1
147,late,6
148,working,3
149,let,5
150,pass,2
151,week,0
152,instead,2
153,pretty,1
154,yeah,1
155,found,5
156,haha,4
157,sick,1
158,fucking,0
159,ugh,3
160,thanks,2
161,started,6
162,probably,5
163,days,6
164,gives,1
165,yet,1
166,mind,6
167,long,0
168,home,0
169,benadryl,4
170,able,1
171,vitamin,2
172,dont,4
173,anymore,1
174,eyes,3
175,natural,2
176,real,1
177,told,3
178,thinking,0
179,meds,6
180,next,0
181,finally,6
182,either,1
183,remember,6
184,usually,0
185,minutes,0
186,schedule,6
187,twitter,3
188,great,0
189,waking,6
190,stop,1
191,coffee,2
192,sometimes,1
193,god,0
194,drink,2
195,say,0
196,come,0
197,swear,3
198,bought,0
199,someone,5
200,said,4
201,goodnight,5
202,stjohnswort,4
203,school,6
204,nothing,6
205,may,5
206,went,5
207,damn,0
208,new,5
209,half,2
210,popped,5
211,thank,5
212,pop,4
213,helped,3
214,ill,0
215,please,0
216,head,3
217,people,0
218,idea,2
219,bit,3
220,nightmares,6
221,ambien,4
222,seriously,1
223,kicking,5
224,past,6
225,things,6
226,making,1
227,whole,0
228,hrs,4
229,ready,2
230,almost,6
231,lot,6
232,anything,1
233,literally,1
234,hoping,5
235,tablets,2
236,least,1
237,man,4
